文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
34,wq765416999,1.2.2-rc01,2023-03-02 09:27:17,NONE, 请问我该如何联系【Mentor】 或 Reviewer 呢？,[Good First Issue] Doris' Future,0,do;mentor
35,q763562998,1.2.2-rc01,2023-03-02 09:28:28,CONTRIBUTOR,Hi can I choose 【task】 19? I would 【like】 to 【try】 it,[Good First Issue] Doris' Future,0,try;like;task;do
36,Yukang-Lian,1.2.2-rc01,2023-03-02 09:33:07,COLLABORATOR AUTHOR,    请问我该如何联系【Mentor】 或 Reviewer 呢？you can add my wechat `abmdocrtlyk`.,[Good First Issue] Doris' Future,0,do;mentor
37,Yukang-Lian,1.2.2-rc01,2023-03-02 09:33:18,COLLABORATOR AUTHOR, Hi can I choose 【task】 19? I would 【like】 to 【try】 it【Yeah】!,[Good First Issue] Doris' Future,1,try;like;task;do;yeah
38,codeluosiyu,1.2.2-rc01,2023-03-02 10:38:13,NONE,"Hi can I choose 【task】 27? 【Task】 About how to 【support】 emptyarray function,  I would like to 【try】 it",[Good First Issue] Doris' Future,1,support;try;like;task;do
39,Yukang-Lian,1.2.2-rc01,2023-03-02 10:49:41,COLLABORATOR AUTHOR," Hi can I choose 【task】 27? 【Task】 About how to 【support】 emptyarray function, I would like to 【try】 it of course!",[Good First Issue] Doris' Future,1,support;try;like;task;do
40,xiaokang,1.2.2-rc01,2023-03-02 10:49:58,COLLABORATOR," Hi, I'd 【like】 to 【do】 【task】 29: 【support】 `arrayconcat` function.【welcome】",[Good First Issue] Doris' Future,1,support;like;welcome;task;do
41,wzymumon,1.2.2-rc01,2023-03-02 15:45:33,CONTRIBUTOR,"  Hi, I'm 【new】 here. I'd 【like】 to 【do】 【task】 33: [array function] 【Support】 arraycount function.  okk, have fun here. 【Thank】 you! I create an issue of this 【task】: https://github.com/apache/doris/issues/17313. I will perfect it later",[Good First Issue] Doris' Future,1,support;like;task;do;new
42,david990917,1.2.2-rc01,2023-03-02 16:55:55,NONE,"Dear Team, I would 【like】 to choose the 【task】 31: [array function] 【Support】 arraycontainsany function. Thank you very much!",[Good First Issue] Doris' Future,1,support;like;task;do
43,Yukang-Lian,1.2.2-rc01,2023-03-02 17:05:28,COLLABORATOR AUTHOR," Dear Team, I would 【like】 to choose the 【task】 31: [array function] 【Support】 arraycontainsany function. Thank you very much!All right & 【Welcome】.",[Good First Issue] Doris' Future,1,support;like;welcome;task;do
44,bobhan1,1.2.2-rc01,2023-03-02 18:59:18,CONTRIBUTOR,"【Task】 36,  [array function] 【Support】 `arraypopfront` function, please 【assign】 to me. Thank you.",[Good First Issue] Doris' Future,1,support;assign;task;do
45,Yukang-Lian,1.2.2-rc01,2023-03-02 20:54:53,COLLABORATOR AUTHOR," 【Task】 36, [array function] 【Support】 `arraypopfront` function, please 【assign】 to me. Thank you.Done. If you have any question, feel free to ask me.",[Good First Issue] Doris' Future,1,support;assign;task;do
46,bobhan1,1.2.2-rc01,2023-03-02 21:10:07,CONTRIBUTOR,"  【Task】 36, [array function] 【Support】 `arraypopfront` function, please 【assign】 to me. Thank you.  Done. If you have any question, feel free to ask me.Thank you, I've created an issual for the task 17361 ",[Good First Issue] Doris' Future,1,support;assign;task;do
47,comewei,1.2.2-rc01,2023-03-03 12:00:32,NONE,"【task34】,[array function] 【Support】 arrayuniq function ,pleas 【assign】 to me,【thanks】",[Good First Issue] Doris' Future,1,support;assign;thanks;task;do
48,Yukang-Lian,1.2.2-rc01,2023-03-03 12:36:57,COLLABORATOR AUTHOR," 【task】34,[array function] Support arrayuniq function ,pleas 【assign】 to me,【thanksDone】.",[Good First Issue] Doris' Future,0,support;assign;thanks;task;do
49,fansehep,1.2.2-rc01,2023-03-04 22:02:19,NONE,"【Task】 37 [array function] 【support】 arraypushback, please 【assign】 to me.",[Good First Issue] Doris' Future,1,support;assign;task;do
50,Yukang-Lian,1.2.2-rc01,2023-03-04 22:20:32,COLLABORATOR AUTHOR," 【Task】 37 [array function] 【support】 arraypushback, please 【assign】 to me.Done.",[Good First Issue] Doris' Future,1,support;assign;task;do
51,MUDBOY-651,1.2.2-rc01,2023-03-04 23:07:01,NONE,"Can I 【help】 with the 【task】 40 ""[array function] 【Support】 arrayreverse function"" ?  Thank you ^.^",[Good First Issue] Doris' Future,1,support;help;task;do
52,Yukang-Lian,1.2.2-rc01,2023-03-04 23:08:14,COLLABORATOR AUTHOR," Can I help with the 【task】 40 ""[array function] Support arrayreverse function"" ? Thank you ^.^Of course!",[Good First Issue] Doris' Future,1,support;help;task;do
53,JoyJeeo,1.2.2-rc01,2023-03-05 00:26:12,NONE,"Hi,I'd 【like】 to 【do】【task】 49: 【Support】 arrayproduct function.May I ?",[Good First Issue] Doris' Future,1,support;like;task;do
54,Yukang-Lian,1.2.2-rc01,2023-03-05 00:36:22,COLLABORATOR AUTHOR," Hi,I'd 【like】 to 【do】 【task】 49: 【Support】 arrayproduct function.May I ?sure you can, feel free to ask me if you have any question!",[Good First Issue] Doris' Future,1,support;like;task;do
55,zhagnzhenfei,1.2.2-rc01,2023-03-05 10:39:29,NONE,"Hi,I'd 【like】 to 【do】【task】 41:[array function] 【Support】 arraysortreverse function",[Good First Issue] Doris' Future,1,support;like;task;do
56,Yukang-Lian,1.2.2-rc01,2023-03-05 11:00:01,COLLABORATOR AUTHOR," Hi,I'd 【like】 to 【do】 【task】 41:[array funpction] 【Support】 arraysortreverse functionDone.",[Good First Issue] Doris' Future,1,support;like;task;do
57,bobhan1,1.2.2-rc01,2023-03-05 21:02:43,CONTRIBUTOR,"【Task】 44: [array function] 【support】 `arrayflatten` function, please 【assign】 to me. Thank you. 17433 ",[Good First Issue] Doris' Future,1,support;assign;task;do
58,Yukang-Lian,1.2.2-rc01,2023-03-05 22:21:36,COLLABORATOR AUTHOR," 【Task】 44: [array function] 【support】 `arrayflatten` function, please 【assign】 to me. Thank you. 17433Done.",[Good First Issue] Doris' Future,1,support;assign;task;do
59,Attackingwhale,1.2.2-rc01,2023-03-05 23:24:31,NONE,"Hi,I'd 【like】 to 【do】 【task】 42:[array function] 【Support】 arrayreduce function",[Good First Issue] Doris' Future,1,support;like;task;do
60,Yukang-Lian,1.2.2-rc01,2023-03-06 01:18:36,COLLABORATOR AUTHOR," Hi,I'd 【like】 to 【do】 【task】 42:[array function] 【Support】 arrayreduce functionDone.",[Good First Issue] Doris' Future,1,support;like;task;do
61,bobhan1,1.2.2-rc01,2023-03-06 13:03:47,CONTRIBUTOR,"【Task】 35, [array function] 【support】 `arrayenumerateuniq` function, please 【assign】 to me. Thank you. 17448 ",[Good First Issue] Doris' Future,1,support;assign;task;do
62,Yukang-Lian,1.2.2-rc01,2023-03-06 13:14:39,COLLABORATOR AUTHOR," 【Task】 35, [array function] 】【support】 `arrayenumerateuniq` function, please 【assign】 to me. Thank you. 17448Done.",[Good First Issue] Doris' Future,1,support;assign;task;do
63,Attackingwhale,1.2.2-rc01,2023-03-06 13:55:10,NONE,"Hi, my request is 【task】 42. Maybe you sent the wrong email Replied Message | From | @. || Date | 03/06/2023 13:14 || To | @. || Cc | @.@. || Subject | Re: [apache/doris] [Good First Issue] Doris' Future (Issue 17176) |Task 35, [array function] 【support】 arrayenumerateuniq function, please assign to me. Thank you. 17448Done.—Reply to this email directly, view it on GitHub, or unsubscribe.You are receiving this because you were mentioned.Message ID: @.",[Good First Issue] Doris' Future,-1,support;assign;task;do
64,bobhan1,1.2.2-rc01,2023-03-06 14:32:35,CONTRIBUTOR," Hi, my request is 【task】 42. Maybe you sent the wrong email […]()  Replied Message  | From | @. | | Date | 03/06/2023 13:14 | | To | @. | | Cc | @.@. | | Subject | Re: [apache/doris] [Good First Issue] Doris' Future (Issue 17176) | Task 35, [array function] 【support】 arrayenumerateuniq function, please 【assign】 to me. Thank you. 17448 Done. — Reply to this email directly, view it on GitHub, or unsubscribe. You are receiving this because you were mentioned.Message ID: @.This is becasue you subscirbe to this issue. You will be notified by email on every 【new】 msg in this issue.",[Good First Issue] Doris' Future,-1,support;assign;task;do;new
65,7ggitt7,1.2.2-rc01,2023-03-06 19:45:55,NONE,hello，this is my first time to participate in an open source project.Can I 【help】 solve the 【problem】 of No.51,[Good First Issue] Doris' Future,-1,problem;help;do
66,morningman,1.2.2-rc01,2023-03-06 21:12:15,CONTRIBUTOR," hello，this is my first time to participate in an open source project.Can I 【help】 solve the problem of No.51Hi @7ggitt7 , 【thanks】 for your 【interest】, but task 51 has been taken. You have to pick another one",[Good First Issue] Doris' Future,-1,problem;help;thanks;interest;task;do
67,brody715,1.2.2-rc01,2023-03-06 21:15:08,CONTRIBUTOR,Hello. I am 【new】 to Doris 【community】. I've used C++ to write some code about relational database. I want to contribute to this project. Can I take the problem of No. 28 `constantarray` function ?,[Good First Issue] Doris' Future,-1,problem;community;do;new;want
68,Yukang-Lian,1.2.2-rc01,2023-03-06 21:33:44,COLLABORATOR AUTHOR, Hello. I am 【new】 to Doris 【community】. I've used C++ to write some code about relational database. I want to contribute to this project. Can I take the problem of No. 28 `constantarray` function ?of course!,[Good First Issue] Doris' Future,-1,problem;community;do;new;want
69,7ggitt7,1.2.2-rc01,2023-03-06 21:48:07,NONE,"49 is ok青鸾神鸟@.&nbsp;&nbsp;原始邮件&nbsp;发件人:                                                                                                                        ""apache/doris""                                                                                    @.&gt;;发送时间:&nbsp;2023年3月6日(星期一) 晚上9:12@.&gt;;@.@.&gt;;主题:&nbsp;Re: [apache/doris] [Good First Issue] Doris' Future (Issue 17176)  hello，this is my first time to participate in an open source project.Can I help solve the problem of No.51  Hi @7ggitt7 , thanks for your interest, but task 51 has been taken. You have to pick another one —Reply to this email directly, view it on GitHub, or unsubscribe.You are receiving this because you were mentioned.Message ID: @.&gt;",[Good First Issue] Doris' Future,-1,problem;help;thanks;interest;task;do
70,Yukang-Lian,1.2.2-rc01,2023-03-06 22:11:38,COLLABORATOR AUTHOR," 49 is ok 青鸾神鸟 @. &nbsp; […]() &nbsp;原始邮件&nbsp; 发件人: ""apache/doris"" @.&gt;; 发送时间:&nbsp;2023年3月6日(星期一) 晚上9:12 @.&gt;; @.@.&gt;; 主题:&nbsp;Re: [apache/doris] [Good First Issue] Doris' Future (Issue 17176) hello，this is my first time to participate in an open source project.Can I help solve the problem of No.51 Hi @7ggitt7 , thanks for your interest, but task 51 has been taken. You have to pick another one — Reply to this email directly, view it on GitHub, or unsubscribe. You are receiving this because you were mentioned.Message ID: @.&gt;49 has been taken.",[Good First Issue] Doris' Future,-1,problem;help;thanks;interest;task;do
71,gitccl,1.2.2-rc01,2023-03-06 23:12:38,COLLABORATOR,"Hi, I'd 【like】 to 【do】 【task】 38: Support `arraypushfront` function.",[Good First Issue] Doris' Future,1,support;like;task;do
72,Mellorsssss,1.2.2-rc01,2023-03-07 10:54:28,CONTRIBUTOR,Hi! This is my first time contributing to an opensource 【community】 and I'm 【new】 to Doris. I have some experience in writing C++ code and knowledge about databases. Can I take Task 45 【Support】 arrayzip function?,[Good First Issue] Doris' Future,1,support;contributing;community;task;do;new
73,Yukang-Lian,1.2.2-rc01,2023-03-07 10:57:49,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【do】 【task】 38: Support `arraypushfront` function.Done.",[Good First Issue] Doris' Future,1,support;like;task;do
74,Yukang-Lian,1.2.2-rc01,2023-03-07 10:58:51,COLLABORATOR AUTHOR, Hi! This is my first time contributing to an opensource 【community】 and I'm 【new】 to Doris. I have some experience in writing C++ code and knowledge about databases. Can I take Task 45 【Support】 arrayzip function?yeah!,[Good First Issue] Doris' Future,1,support;contributing;community;task;do;new;yeah
75,Attackingwhale,1.2.2-rc01,2023-03-07 23:08:48,NONE,"【Sorry】, because my personal computer has insufficient memory resources, I can't build a doris environment, so I want to return my 【task】 42, [array function] 【Support】 array reduce function",[Good First Issue] Doris' Future,-1,sorry;do;want
76,xiabaike,1.2.2-rc01,2023-03-07 23:53:17,NONE,"HI, I have an idea to 【improve】 doris grammar, which has been realized. Could you help CR? This is my first issu.https://github.com/apache/doris/issues/16678",[Good First Issue] Doris' Future,1,help;do;improve
77,Yukang-Lian,1.2.2-rc01,2023-03-08 00:00:22,COLLABORATOR AUTHOR," 【Sorry】, because my personal computer has insufficient memory resources, I can't build a doris environment, so I want to return my task 42, [array function] 【Support】 array reduce functionActually we can provide you with a development machine, if you are interested, you can contact me.",[Good First Issue] Doris' Future,-1,sorry;do;want
78,Yukang-Lian,1.2.2-rc01,2023-03-08 00:01:20,COLLABORATOR AUTHOR," HI, I have an idea to 【improve】 doris grammar, which has been realized. Could you help CR? This is my first issu. 16678Could you please add my wechat `abmdocrtlyk`? Let's talk in detail.",[Good First Issue] Doris' Future,1,help;do;improve
79,xiabaike,1.2.2-rc01,2023-03-08 00:06:27,NONE,"  HI, I have an idea to 【improve】 doris grammar, which has been realized. Could you help CR? This is my first issu. 16678  Could you please add my wechat `abmdocrtlyk`? Let's talk in detail.Sure, I will add your wechat.",[Good First Issue] Doris' Future,1,help;do;improve
80,yiguolei,1.2.2-rc01,2023-03-08 08:26:20,CONTRIBUTOR,@imSanko 17525 ,[Good First Issue] Doris' Future,0,do
81,Attackingwhale,1.2.2-rc01,2023-03-08 10:25:52,NONE,"Yes, I can continue to work on this project Replied Message | From | @. || Date | 03/08/2023 00:00 || To | @. || Cc | @.@. || Subject | Re: [apache/doris] [Good First Issue] Doris' Future (Issue 17176) |【Sorry】, because my personal computer has insufficient memory resources, I can't build a doris environment, so I want to return my task 42, [array function] 【Support】 array reduce functionActually we can provide you with a development machine, if you are interested, you can contact me.—Reply to this email directly, view it on GitHub, or unsubscribe.You are receiving this because you were mentioned.Message ID: @.",[Good First Issue] Doris' Future,-1,sorry;do;want
82,brody715,1.2.2-rc01,2023-03-08 11:11:29,CONTRIBUTOR,"【Sorry】 to bother, but I am 【stuck】 because I don't understand the requirements. Could someone help me ? 17474",[Good First Issue] Doris' Future,-1,help;sorry;do;stuck
83,Yukang-Lian,1.2.2-rc01,2023-03-08 11:17:31,COLLABORATOR AUTHOR," Yes, I can continue to work on this project […]()  Replied Message  | From | @. | | Date | 03/08/2023 00:00 | | To | @. | | Cc | @.@. | | Subject | Re: [apache/doris] [Good First Issue] Doris' Future (Issue 17176) | Sorry, because my personal computer has insufficient memory resources, I can't build a doris environment, so I want to return my task 42, [array function] Support array reduce function Actually we can provide you with a development machine, if you are interested, you can contact me. — Reply to this email directly, view it on GitHub, or unsubscribe. You are receiving this because you were mentioned.Message ID: @.All right, you can contact me anytime.",[Good First Issue] Doris' Future,-1,sorry;do;want
84,Yukang-Lian,1.2.2-rc01,2023-03-08 11:18:07,COLLABORATOR AUTHOR," 【Sorry】 to bother, but I am 【stuck】 because I don't understand the requirements. Could someone help me ? 17474You can add my wechat `abmdocrtlyk`, we are 【willing】 to help.",[Good First Issue] Doris' Future,-1,help;willing;sorry;do;stuck
85,brody715,1.2.2-rc01,2023-03-09 19:26:08,CONTRIBUTOR,"Hello, I 【want】 to take 【task】 47, `arraycumsum`",[Good First Issue] Doris' Future,0,task;do;want
86,xuhaoran1,1.2.2-rc01,2023-03-09 19:29:33,NONE,"Hi, I 【want】 to take 【task】 43, arrayreduceinranges",[Good First Issue] Doris' Future,0,task;do;want
87,Yukang-Lian,1.2.2-rc01,2023-03-09 19:33:36,COLLABORATOR AUTHOR," Hello, I 【want】 to take 【task】 47, `arraycumsum`Done.",[Good First Issue] Doris' Future,0,task;do;want
88,Yukang-Lian,1.2.2-rc01,2023-03-09 19:34:37,COLLABORATOR AUTHOR," Hi, I 【want】 to take 【task】 43, arrayreduceinrangesOK.",[Good First Issue] Doris' Future,0,task;do;want
89,zijunBai,1.2.2-rc01,2023-03-09 19:35:14,NONE,"Hello,I want to take 【task】 32 arraycontainssub",[Good First Issue] Doris' Future,0,task;do;want
90,Yukang-Lian,1.2.2-rc01,2023-03-09 19:37:44,COLLABORATOR AUTHOR," Hello,I 【want】 to take 【task】 32 arraycontainssubDone.",[Good First Issue] Doris' Future,0,task;do;want
91,lvshaokang,1.2.2-rc01,2023-03-09 23:11:39,CONTRIBUTOR,"Hi @YukangLian , could you 【assign】 me 【task】 48 [arraycumsumnoneg], i will 【try】it",[Good First Issue] Doris' Future,0,try;assign;task;do
92,Yukang-Lian,1.2.2-rc01,2023-03-09 23:44:44,COLLABORATOR AUTHOR," Hi @YukangLian , could you 【assign】 me 【task】 48 [arraycumsumnoneg], i will 【try】 it of course!",[Good First Issue] Doris' Future,1,try;assign;task;do
93,Raulj123,1.2.2-rc01,2023-03-14 01:48:26,NONE,Hi @YukangLian 【new】 to open source but eager to start may I have 【task】 16. ,[Good First Issue] Doris' Future,-1,task;do;new
94,Yukang-Lian,1.2.2-rc01,2023-03-14 09:25:53,COLLABORATOR AUTHOR, Hi @YukangLian 【new】 to open source but eager to start may I have task 16.Sure & 【Welcome】!,[Good First Issue] Doris' Future,-1,welcome;task;do;new
95,Perryen,1.2.2-rc01,2023-03-14 16:17:42,NONE,Hi，I want to get 17216 please,[Good First Issue] Doris' Future,1,do;want
96,gitccl,1.2.2-rc01,2023-03-14 16:29:05,COLLABORATOR,"Hi, I'd 【like】 to 【do】 【task】 59.",[Good First Issue] Doris' Future,1,like;task;do
97,Yukang-Lian,1.2.2-rc01,2023-03-14 16:31:44,COLLABORATOR AUTHOR," Hi，I 【want】 to get 17216 please Hi, I'd 【like】to 【do】task 59.Done.",[Good First Issue] Doris' Future,1,like;task;do;want
98,Mellorsssss,1.2.2-rc01,2023-03-14 16:59:47,CONTRIBUTOR,"Hi, can I get 【task】 60?",[Good First Issue] Doris' Future,0,task;do
99,Yukang-Lian,1.2.2-rc01,2023-03-14 17:03:34,COLLABORATOR AUTHOR," Hi, can I get 【task】 60?Sure!",[Good First Issue] Doris' Future,1,task;do
100,big-doudou,1.2.2-rc01,2023-03-14 19:28:21,NONE,"Hi, I'd 【like】 to 【do】 【task】 56",[Good First Issue] Doris' Future,1,like;task;do
101,xuhaoran1,1.2.2-rc01,2023-03-14 19:35:31,NONE,"Hi, could I  take 【task】 62?",[Good First Issue] Doris' Future,0,task;do
102,Yukang-Lian,1.2.2-rc01,2023-03-14 20:17:29,COLLABORATOR AUTHOR," Hi, I'd 【like】 to 【do】 【task】 56 Hi, could I take task 62?Done.",[Good First Issue] Doris' Future,1,like;task;do
