文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
10,jackwener,0.15.0-rc04,2022-01-02 23:27:08,MEMBER,既然后续有这么多内容，关于社区部分建一个 RFC 目录挺有必要的，大型的 PR 的 design doc 放进去，一方面是为了社区新人的快速融入，另外也减小PR review的压力,Doris 【Roadmap】 2022,-1,rfc directory;roadmap;community;do;new
11,morningman,0.15.0-rc04,2022-01-04 12:16:28,CONTRIBUTOR AUTHOR, 既然后续有这么多内容，关于社区部分建一个 RFC 目录挺有必要的，大型的 PR 的 design doc 放进去，一方面是为了社区新人的快速融入，另外也减小PR review的压力好主意，你是否有一些RFC 模板可供参考？,Doris 【Roadmap】 2022,-1,rfc directory;roadmap;community;do;new
12,jackwener,0.15.0-rc04,2022-01-04 15:26:14,MEMBER,这是 cockroach 的 [实践](https://github.com/cockroachdb/cockroach/blob/master/docs/RFCS/README.md),Doris 【Roadmap】 2022,0,roadmap;do
13,caiconghui,0.15.0-rc04,2022-01-06 21:27:29,CONTRIBUTOR, What about 【support】ing AVRO format in LOAD function?7650 ,Doris 【Roadmap】 2022,1,load;roadmap;support;do;form
14,Henry2SS,0.15.0-rc04,2022-01-06 21:30:27,CONTRIBUTOR,  What about 【support】ing AVRO format in LOAD function?  7650Thx for opening an issue.,Doris 【Roadmap】 2022,1,load;roadmap;support;do;form
15,morningman,0.15.0-rc04,2022-01-06 23:51:27,CONTRIBUTOR AUTHOR,   What about 【support】ing AVRO format in LOAD function?      7650  Thx for opening an issue.Add to the 【roadmap】,Doris 【Roadmap】 2022,1,load;roadmap;support;do;form
16,hf200012,0.15.0-rc04,2022-01-18 11:52:44,CONTRIBUTOR,"7680 Data export function 【support】s exporting to db, kafka, etc.",Doris 【Roadmap】 2022,1,roadmap;support;do;data
17,hf200012,0.15.0-rc04,2022-01-18 11:55:32,CONTRIBUTOR,"7678 maxby, minby aggregate function 【support】 ",Doris 【Roadmap】 2022,1,roadmap;support;do
18,huligong1234,0.15.0-rc04,2022-01-18 12:47:48,NONE,"【support】 【decimal】 data type for create table as select statement.  (detailMessage = Unsupported type 'DECIMAL(9,0)' in create table as select statement)",Doris 【Roadmap】 2022,1,roadmap;support;decimal;select;do;data;state
19,morningman,0.15.0-rc04,2022-01-18 13:06:10,CONTRIBUTOR AUTHOR," 7680 Data export function 【support】s exporting to db, kafka, etc. 7678 maxby, minby aggregate function 【support】Added to the 【Roadmap】",Doris 【Roadmap】 2022,1,roadmap;support;do;data
20,morningman,0.15.0-rc04,2022-01-18 13:06:24,CONTRIBUTOR AUTHOR," 【support】 【decimal】 data type for create table as select statement. (detailMessage = Unsupported type 'DECIMAL(9,0)' in create table as select statement)Added to the 【roadmap】",Doris 【Roadmap】 2022,1,roadmap;support;decimal;select;do;data;state
21,yiguolei,0.15.0-rc04,2022-01-18 16:37:36,CONTRIBUTOR,Could use vectorized method to optimize load process??,Doris 【Roadmap】 2022,0,load;roadmap;do
22,i7xh,0.15.0-rc04,2022-01-18 16:49:31,NONE,Why Doris need push based query execution engine?,Doris 【Roadmap】 2022,0,roadmap;do
23,yiguolei,0.15.0-rc04,2022-01-18 16:56:23,CONTRIBUTOR,"@i7xh Two example:1.  Currently doris‘s concurrency control is based on tablet, one tablet  exec fragment， there is only one thread to deal with the data at query engine. If use pushed engine, could expand the computing thread num at run time.2. In pull engine, if one fragment contains 3 or more node, like  scan filter agg there is only one node is executing, but in  push based engine, node executing could be async, for example scan and agg could execute at same time.",Doris 【Roadmap】 2022,1,roadmap;like;do;data
24,i7xh,0.15.0-rc04,2022-01-19 19:39:44,NONE, Provides Schemaless semantics for fast analysis of semistructured data Json Parsing OptimizationThere are a lot of user cases schemaless or semistructured that lead to 【support】 json optimization especially，mainly with decouple change of the schema?,Doris 【Roadmap】 2022,1,roadmap;support;do;data
25,i7xh,0.15.0-rc04,2022-01-19 19:44:15,NONE,"<img width=""524"" alt=""企业微信截图a18eb1926b6a4615a6a5eeae4d0430d2"" src=""https://userimages.githubusercontent.com/635169/1501233005dc4c6d571ad4a5fa0d8ba272d2ee316.png""look forward imperatively",Doris 【Roadmap】 2022,0,roadmap;do
26,lordk911,0.15.0-rc04,2022-03-08 11:24:52,NONE,want to know when will vectorized query engine could be 【released】.,Doris 【Roadmap】 2022,0,roadmap;release;do;want
27,kuncle,0.15.0-rc04,2022-08-04 17:07:18,CONTRIBUTOR,"When will 【support】 data type Decimal(38,18) ?",Doris 【Roadmap】 2022,1,roadmap;support;do;data
28,kpfly,0.15.0-rc04,2022-08-04 17:21:12,NONE," When will 【support】 data type Decimal(38,18) ?This 【feature】 will be 【released】 as an experimental 【feature】 in version 1.2.0，which will be 【released】 at the end of this month.",Doris 【Roadmap】 2022,1,version;roadmap;release;support;feature;do;data
29,kuncle,0.15.0-rc04,2022-08-04 20:01:38,CONTRIBUTOR,"  When will 【support】 data type Decimal(38,18) ?  This 【feature】 will be 【released】 as an experimental 【feature】 in version 1.2.0，which will be 【released】 at the end of this month.cool, thanks.",Doris 【Roadmap】 2022,1,version;roadmap;release;support;feature;thanks;do;data
30,mengzhisy,0.15.0-rc04,2022-11-23 15:12:55,NONE,请教一下“Pipeline execution engine”是否可以更方便地实现多线程执行算法，然后大幅提升多核利用率？拿doris【测试】过tpcds，目前对多核心的利用率貌似比较低,Doris 【Roadmap】 2022,1,test;roadmap;implement;do;improve
